Phenotype1,Phenotype2,Log2(OR),95% CI Lower,95% CI Upper,P_adj,Significance
Otitis Media,Pectus Excavatum,1.364517503,-0.444302834,3.173337839,0.904730081,ns
Narrow/High Palate,Low-Set Ears,1.368379952,0.292630378,2.444129526,0.117812528,ns
Corpus Callosum Hypoplasia/Agenesis,Inguinal Hernia,1.368529693,-0.239241141,2.976300528,0.674545562,ns
Dolichocephaly,Enlarged Ventricles,1.373310374,-0.902560256,3.649181004,1,ns
Friendly/Amiable Affect,Hypoplasia Hand Muscles,1.376411248,-0.279453115,3.032275611,0.416266385,ns
Pale Irides,Friendly/Amiable Affect,1.377288223,-0.130694757,2.885271202,0.343463951,ns
Neonatal Jaundice,Pyelectasis,1.378218199,-0.334614836,3.091051234,0.774473949,ns
Hypertelorism,Nystagmus,1.378218199,-0.334614836,3.091051234,0.774473949,ns
Hypertelorism,Bicuspid Aortic Valve,1.378218199,-0.334614836,3.091051234,0.774473949,ns
High/Broad Forehead,Bulbous Nasal Tip,1.378511623,0.17602457,2.580998676,0.148626125,ns
Abnormal EEG,Vesicoureteral Reflux,1.378511623,-0.027589294,2.784612541,0.529460929,ns
Abnormal EEG,Multiple Nevi,1.378511623,-0.027589294,2.784612541,0.529460929,ns
High/Broad Nasal Bridge,Thin Upper Lip,1.379404518,0.043236893,2.715572143,0.449229955,ns
Upward Slanting Palpebral Fissures,Otitis Media,1.379971702,-0.105060981,2.865004386,0.345401976,ns
Slender Lower Limbs,Sacral Dimple,1.38130298,-0.414306956,3.176912917,0.885433364,ns
Thin Upper Lip,Vesicoureteral Reflux,1.381839161,-0.23416188,2.997840203,0.737543405,ns
Abnormal EEG,ADHD,1.383472844,0.058685114,2.708260575,0.435557262,ns
ADHD,Scoliosis/Kyphosis,1.385349198,0.230189276,2.54050912,0.150591051,ns
Tongue Protrusion,Hyperopia,1.385875851,-0.399956433,3.171708134,0.78747266,ns
Cleft Lip/Palate,Micrognathia,1.386211148,-1.201721005,3.974143301,0.937179476,ns
Cleft Lip/Palate,Hypoplasia Hand Muscles,1.386211148,-1.201721005,3.974143301,0.937179476,ns
Micrognathia,Pyelectasis,1.386211148,-1.201721005,3.974143301,0.937179476,ns
Astigmatism,Patent Foramen Ovale,1.386211148,-1.201721005,3.974143301,0.937179476,ns
Astigmatism,Hypoplasia Hand Muscles,1.386211148,-1.201721005,3.974143301,0.937179476,ns
Astigmatism,Inguinal Hernia,1.386211148,-1.201721005,3.974143301,0.937179476,ns
Patent Foramen Ovale,Pyelectasis,1.386211148,-1.201721005,3.974143301,0.937179476,ns
Bicuspid Aortic Valve,Inguinal Hernia,1.386211148,-1.201721005,3.974143301,0.937179476,ns
Hypoplasia Hand Muscles,Pyelectasis,1.386211148,-1.201721005,3.974143301,0.937179476,ns
Hip Dislocation/Dysplasia,Dry Skin/Hyperkeratosis/Eczema,1.387005797,0.037250946,2.736760647,0.450501551,ns
Astigmatism,Cryptorchidism,1.390045556,-0.25246792,3.032559032,0.674311472,ns
Macroglossia,Atrial Septal Defect,1.391139232,0.059925547,2.722352916,0.400994884,ns
Low Birth Weight,Broad Chin,1.39192629,-0.23317308,3.017025659,0.733510941,ns
Everted Lower Lip,Speech Developmental Delay,1.395345604,0.390255451,2.400435758,0.059883302,ns
Low Birth Weight,Foot Deformities,1.397082371,0.014169008,2.779995733,0.461444557,ns
Motor Developmental Delay,Abnormal EEG,1.40116585,0.311833589,2.49049811,0.092910368,ns
Motor Developmental Delay,Anxiety,1.40116585,0.311833589,2.49049811,0.092910368,ns
Joint Hyperlaxity,Bilateral Kidneys,1.402056741,-0.967256192,3.771369673,0.95903333,ns
Microcephaly,Dry Skin/Hyperkeratosis/Eczema,1.403701864,-1.235423019,4.042826748,0.937179476,ns
Narrow Hands,Abnormal Hair Color/Texture,1.404032599,-0.27698522,3.085050418,0.636488395,ns
Urinary Tract Infection,Abnormal Hair Color/Texture,1.404032599,-0.27698522,3.085050418,0.636488395,ns
Open Mouth,Hypopigmentation,1.406424369,-1.185144284,3.997993022,0.937179476,ns
Urinary Tract Infection,Hypopigmentation,1.406424369,-1.185144284,3.997993022,0.937179476,ns
High/Broad Nasal Bridge,Ventricular Septal Defect,1.40766165,0.193703224,2.621620076,0.295726935,ns
Ptosis,Narrow/High Palate,1.409818231,0.308190508,2.511445955,0.114895772,ns
Hypotonia,Vesicoureteral Reflux,1.410439788,-0.525052769,3.345932344,0.466770244,ns
Developmental Delay/Intellectual Disability,Multiple Nevi,1.411630898,-2.70633295,5.529594745,0.99316646,ns
Developmental Delay/Intellectual Disability,Constipation,1.411630898,-2.70633295,5.529594745,0.99316646,ns
Developmental Delay/Intellectual Disability,Sacral Dimple,1.411630898,-2.70633295,5.529594745,0.99316646,ns
Epicanthal Folds,Abnormal EEG,1.413594082,0.405755949,2.421432216,0.06548069,ns
Microcephaly,Everted Lower Lip,1.41553421,-0.64165996,3.472728379,0.916412114,ns
Craniosynostosis,Everted Lower Lip,1.41553421,-0.64165996,3.472728379,0.916412114,ns
Hip Dislocation/Dysplasia,Hydronephrosis,1.415907137,0.134083876,2.697730398,0.35604453,ns
Hydrocephalus,Myopia,1.416001545,-1.189347942,4.021351033,0.935303696,ns
Hydrocephalus,Nasal Speech,1.416001545,-1.189347942,4.021351033,0.935303696,ns
Macrocephaly,Pyelectasis,1.419225296,-0.669990893,3.508441485,1,ns
Cleft Lip/Palate,Multiple Nevi,1.419225296,-0.669990893,3.508441485,1,ns
Cleft Lip/Palate,Constipation,1.419225296,-0.669990893,3.508441485,1,ns
Astigmatism,Multiple Nevi,1.419225296,-0.669990893,3.508441485,1,ns
Nystagmus,Sacral Dimple,1.419225296,-0.669990893,3.508441485,1,ns
Bicuspid Aortic Valve,Multiple Nevi,1.419225296,-0.669990893,3.508441485,1,ns
Vesicoureteral Reflux,Pyelectasis,1.419225296,-0.669990893,3.508441485,1,ns
Vesicoureteral Reflux,Café-au-lait Spots,1.419225296,-0.669990893,3.508441485,1,ns
Pyelectasis,Constipation,1.419225296,-0.669990893,3.508441485,1,ns
Drooling,Bicuspid Aortic Valve,1.422360032,-0.220845155,3.065565219,0.653097415,ns
Microcephaly,Dolichocephaly,1.423336822,-2.856660469,5.703334113,1,ns
Macroglossia,ADHD,1.425810414,-0.197833644,3.049454471,0.716496887,ns
Pale Irides,Foot Deformities,1.425885876,-0.055488805,2.907260557,0.532242005,ns
Tubular or Pear-Shaped Nose,Nasal Speech,1.425943143,-0.296210074,3.148096361,0.388643826,ns
Macroglossia,Motor Developmental Delay,1.426860627,-0.020595862,2.874317116,0.263581251,ns
Feeding Difficulties,Small Teeth,1.427817054,-0.333876861,3.189510968,0.411650474,ns
Intrauterine Growth Restriction,Open Mouth,1.429304814,-0.671521072,3.530130699,1,ns
Failure to Thrive in Infancy,Broad Chin,1.429316624,-0.391568165,3.250201413,0.866670055,ns
Enlarged Ventricles,Hypotonia,1.431339312,0.081468496,2.781210127,0.194354608,ns
Everted Lower Lip,Hypopigmentation,1.43637181,-0.096322036,2.969065656,0.550317915,ns
Enlarged Ventricles,Foot Deformities,1.436517227,0.457453749,2.415580705,0.051376606,ns
Short Stature,Bicuspid Aortic Valve,1.437015868,-0.410833135,3.284864872,0.867718461,ns
Widely Spaced Teeth,Pigmentation Abnormalities,1.437528751,-0.635739818,3.510797321,0.75094172,ns
Narrow/Short Palpebral Fissures,Hyperopia,1.437748852,0.453758804,2.421738901,0.052263333,ns
High/Broad Forehead,Low-Set Ears,1.43995106,0.414382355,2.465519765,0.068385097,ns
Epicanthal Folds,Pectus Excavatum,1.440572591,0.314782837,2.566362346,0.106955863,ns
Hydrocephalus,Abnormal Hair Color/Texture,1.442820656,-0.39323856,3.278879872,0.716496887,ns
Intrauterine Growth Restriction,Dolichocephaly,1.444511693,-1.22819582,4.117219206,0.933133485,ns
Age,Foot Deformities,1.445138451,0.43135248,2.458924422,0.050629362,ns
Narrow/High Palate,Scoliosis/Kyphosis,1.446134796,0.41430107,2.477968522,0.066731982,ns
Hydronephrosis,Widely Spaced Nipples,1.446310697,-0.360888312,3.253509706,0.850218663,ns
Long Face,Multiple Nevi,1.447843644,0.152046888,2.7436404,0.174001588,ns
Ventricular Septal Defect,Inguinal Hernia,1.449426225,-0.383825328,3.282677778,0.855264109,ns
Ptosis,Hypopigmentation,1.455253524,-0.12850033,3.039007378,0.605854943,ns
High/Broad Forehead,Tongue Protrusion,1.457045026,-0.438634221,3.352724273,0.866785904,ns
Cleft Lip/Palate,Hip Dislocation/Dysplasia,1.45770607,-0.25749673,3.17290887,0.724162486,ns
Tracheomalacia/Laryngomalacia,Pyelectasis,1.45770607,-0.25749673,3.17290887,0.724162486,ns
Micrognathia,Slender/Long Fingers,1.459341968,-0.23239131,3.151075247,0.716496887,ns
Macrocephaly,Constipation,1.46020747,-0.161924701,3.082339641,0.688079844,ns
Anxiety,Dry Skin/Hyperkeratosis/Eczema,1.469928564,0.054072951,2.885784177,0.46281182,ns
High/Broad Nasal Bridge,Multiple Nevi,1.470972571,0.124546346,2.817398797,0.379223442,ns
Long/Prominent Philtrum,Enlarged Ventricles,1.472018275,0.450958468,2.493078083,0.057980926,ns
Short Stature,Abnormal EEG,1.473931188,0.260092961,2.687769415,0.245257989,ns
Low Birth Weight,Small Teeth,1.47656685,-0.60374967,3.55688337,0.736729249,ns
Neonatal Jaundice,Hypodontia,1.478847202,0.337368188,2.620326216,0.108084949,ns
Myopia,Vesicoureteral Reflux,1.483605626,-0.321844194,3.289055445,0.830293528,ns
Myopia,Multiple Nevi,1.483605626,-0.321844194,3.289055445,0.830293528,ns
Myopia,Sacral Dimple,1.483605626,-0.321844194,3.289055445,0.830293528,ns
Multiple Nevi,Pigmentation Abnormalities,1.483605626,-0.321844194,3.289055445,0.830293528,ns
Nasal Speech,Sacral Dimple,1.483605626,-0.321844194,3.289055445,0.830293528,ns
Long Face,Small Teeth,1.488467281,-0.143075206,3.120009768,0.33255395,ns
Ptosis,Open Mouth,1.488747185,-0.25815326,3.235647631,0.716496887,ns
Hypodontia,Astigmatism,1.489776977,-0.360282435,3.339836389,0.838460003,ns
Hypodontia,Bicuspid Aortic Valve,1.489776977,-0.360282435,3.339836389,0.838460003,ns
Small Teeth,Pectus Excavatum,1.490950874,-0.333140432,3.315042179,0.830293528,ns
Pectus Excavatum,Hypopigmentation,1.490950874,-0.333140432,3.315042179,0.830293528,ns
ADHD,Strabismus,1.492901444,0.350541733,2.635261155,0.094693987,ns
Cleft Lip/Palate,Dry Skin/Hyperkeratosis/Eczema,1.493899605,-0.599621132,3.587420341,0.733180898,ns
Low-Set Ears,Sacral Dimple,1.496047943,0.2309286,2.761167286,0.264081468,ns
Tubular or Pear-Shaped Nose,Long/Prominent Philtrum,1.497624073,0.402862985,2.592385162,0.062672467,ns
Thin Upper Lip,Open Mouth,1.498026864,-0.606362309,3.602416037,0.733180898,ns
Broad Chin,Bilateral Kidneys,1.498026864,-1.226129716,4.222183444,0.923697605,ns
High/Broad Nasal Bridge,Widely Spaced Teeth,1.498213861,-0.050458039,3.04688576,0.561704082,ns
Slender/Long Fingers,Widely Spaced Nipples,1.498213861,-0.050458039,3.04688576,0.561704082,ns
High/Broad Forehead,Slender/Long Fingers,1.499360787,0.398381729,2.600339845,0.083460791,ns
Slender/Long Fingers,Enlarged Ventricles,1.501052705,0.453338067,2.548767342,0.059883302,ns
Narrow/Short Palpebral Fissures,Hydrocephalus,1.501655289,-0.431875984,3.435186562,0.847949167,ns
High/Broad Forehead,Micrognathia,1.503750432,-0.189571846,3.19707271,0.686273717,ns
Everted Lower Lip,Hydrocephalus,1.505673591,-0.339244981,3.350592163,0.733180898,ns
Feeding Difficulties,Ventricular Septal Defect,1.506461739,0.271884296,2.741039182,0.112617471,ns
Feeding Difficulties,Vesicoureteral Reflux,1.509013647,0.089933324,2.928093971,0.198296131,ns
Microcephaly,Atrial Septal Defect,1.509616293,-0.549119744,3.56835233,0.869195064,ns
Dolichocephaly,Thin Upper Lip,1.510521245,-1.164758151,4.18580064,0.918882529,ns
Widely Spaced Teeth,Hydrocephalus,1.511970142,-1.099347933,4.123288218,0.916412114,ns
Cleft Lip/Palate,Astigmatism,1.512253178,-1.086378919,4.110885276,0.916412114,ns
Cleft Lip/Palate,Nystagmus,1.512253178,-1.086378919,4.110885276,0.916412114,ns
Astigmatism,Nystagmus,1.512253178,-1.086378919,4.110885276,0.916412114,ns
Astigmatism,Bicuspid Aortic Valve,1.512253178,-1.086378919,4.110885276,0.916412114,ns
Nystagmus,Pyelectasis,1.512253178,-1.086378919,4.110885276,0.916412114,ns
Bicuspid Aortic Valve,Café-au-lait Spots,1.512253178,-1.086378919,4.110885276,0.916412114,ns
Macroglossia,Patent Foramen Ovale,1.516690735,-0.571045426,3.604426896,0.727278926,ns
Macroglossia,Hypoplasia Hand Muscles,1.516690735,-0.571045426,3.604426896,0.727278926,ns
Macroglossia,Inguinal Hernia,1.516690735,-0.571045426,3.604426896,0.727278926,ns
Thin Upper Lip,ADHD,1.518226659,0.016833755,3.019619562,0.526793623,ns
Open Mouth,Micrognathia,1.523203478,-1.077466361,4.123873317,0.916412114,ns
Narrow Hands,Inguinal Hernia,1.523203478,-1.077466361,4.123873317,0.916412114,ns
Hypoplasia Hand Muscles,Urinary Tract Infection,1.523203478,-1.077466361,4.123873317,0.916412114,ns
Hypodontia,Pulmonary Valve Stenosis,1.523791703,-0.647894927,3.695478332,0.733180898,ns
Tubular or Pear-Shaped Nose,Slender Lower Limbs,1.531406535,-0.180482452,3.243295523,0.321755155,ns
Small Teeth,Friendly/Amiable Affect,1.533131959,-0.098527514,3.164791432,0.305375586,ns
Low Birth Weight,Slender/Long Fingers,1.533804787,0.092315436,2.975294138,0.427162704,ns
Hypodontia,Anxiety,1.538419915,0.319393508,2.757446321,0.207909596,ns
Pale Irides,Widely Spaced Nipples,1.53965676,-0.54214165,3.62145517,0.718924579,ns
Age,Hypoplasia Hand Muscles,1.540540291,-0.465000753,3.546081335,0.594370279,ns
Low-Set Ears,Pectus Excavatum,1.541120327,0.371675647,2.710565008,0.09674868,ns
Anxiety,Hypopigmentation,1.541241123,-0.135711957,3.218194203,0.653097415,ns
Widely Spaced Teeth,Abnormal Hair Color/Texture,1.542271196,0.10912016,2.975422231,0.218227558,ns
Vesicoureteral Reflux,Dry Skin/Hyperkeratosis/Eczema,1.542348157,-0.086556335,3.171252648,0.637236501,ns
Otitis Media,Pigmentation Abnormalities,1.546534937,-0.536528958,3.629598833,0.718128732,ns
Low Birth Weight,Ptosis,1.551409941,0.163171366,2.939648516,0.347982684,ns
Low Birth Weight,Hyperopia,1.553357391,0.200462765,2.906252017,0.299709737,ns
Intrauterine Growth Restriction,Hypotonia,1.553831333,-0.373580585,3.481243251,0.379223442,ns
ADHD,Hypopigmentation,1.554779495,-0.272777319,3.382336309,0.797230314,ns
Corpus Callosum Hypoplasia/Agenesis,Nystagmus,1.555971928,-0.090287424,3.202231281,0.56629903,ns
Upward Slanting Palpebral Fissures,Open Mouth,1.556141547,-0.168423551,3.280706645,0.526793623,ns
Microcephaly,Macroglossia,1.556222605,-1.090069589,4.202514799,0.916412114,ns
Tongue Protrusion,Hypopigmentation,1.556562075,-1.050401568,4.163525718,0.916412114,ns
Slender Lower Limbs,Pectus Excavatum,1.558321068,-0.081503405,3.198145541,0.634036169,ns
Dry Skin/Hyperkeratosis/Eczema,Nasal Speech,1.561817164,-0.249124541,3.37275887,0.792942906,ns
High/Broad Forehead,Sparse Eyebrows,1.56187169,0.422703347,2.701040033,0.080272606,ns
Tubular or Pear-Shaped Nose,Patent Foramen Ovale,1.563701347,-0.441725956,3.56912865,0.583649698,ns
Open Mouth,Vesicoureteral Reflux,1.569576764,-0.538703583,3.67785711,0.716496887,ns
Open Mouth,Sacral Dimple,1.569576764,-0.538703583,3.67785711,0.716496887,ns
Urinary Tract Infection,Multiple Nevi,1.569576764,-0.538703583,3.67785711,0.716496887,ns
Seizures,Astigmatism,1.572316846,-0.229913722,3.374547414,0.356384124,ns
Craniosynostosis,Anxiety,1.573836263,-0.642403395,3.79007592,0.724162486,ns
Enlarged Ventricles,Pectus Excavatum,1.576050835,0.378274921,2.77382675,0.099070953,ns
Failure to Thrive in Infancy,Abnormal Hair Color/Texture,1.577965906,0.056311614,3.099620197,0.378793504,ns
Macrocephaly,Dolichocephaly,1.579121622,-1.098957871,4.257201115,0.916214293,ns
Long Face,Slender Lower Limbs,1.588365085,0.11466399,3.062066179,0.19296948,ns
Speech Developmental Delay,Constipation,1.58867123,-0.089449656,3.266792117,0.266503007,ns
Low-Set Ears,Nasal Speech,1.589120126,0.165221034,3.013019219,0.34436636,ns
Large/Prominent Ears,Developmental Delay/Intellectual Disability,1.589120126,-0.886111487,4.064351739,0.717139245,ns
Developmental Delay/Intellectual Disability,Scoliosis/Kyphosis,1.589120126,-0.886111487,4.064351739,0.717139245,ns
Pulmonary Valve Stenosis,Joint Hyperlaxity,1.591704079,-0.375841538,3.559249695,0.661638437,ns
Widely Spaced Nipples,Sacral Dimple,1.592760871,-0.223927001,3.409448743,0.779868105,ns
Tubular or Pear-Shaped Nose,Broad Chin,1.597145992,0.213283085,2.981008899,0.136119578,ns
Drooling,Sacral Dimple,1.59838782,0.353831154,2.842944486,0.106955863,ns
Macroglossia,Tracheomalacia/Laryngomalacia,1.599766404,0.222118453,2.977414356,0.308178845,ns
Macroglossia,Hip Dislocation/Dysplasia,1.599766404,0.222118453,2.977414356,0.308178845,ns
Astigmatism,Ventricular Septal Defect,1.599981507,-0.254964179,3.454927193,0.786262481,ns
Nystagmus,Ventricular Septal Defect,1.599981507,-0.254964179,3.454927193,0.786262481,ns
Hearing Impairment,Sacral Dimple,1.600287175,0.376240537,2.824333813,0.092171822,ns
Macrocephaly,ADHD,1.6004755,0.091769922,3.109181078,0.466770244,ns
Widely Spaced Teeth,Atrial Septal Defect,1.600490679,0.15268902,3.048292339,0.347982684,ns
Myopia,Pulmonary Valve Stenosis,1.602344579,-1.0269409,4.231630058,0.910899595,ns
Pulmonary Valve Stenosis,Nasal Speech,1.602344579,-1.0269409,4.231630058,0.910899595,ns
Language Disorder,Nystagmus,1.602556561,-0.02902125,3.234134371,0.449229955,ns
Tracheomalacia/Laryngomalacia,Vesicoureteral Reflux,1.60457225,0.300090806,2.909053694,0.235295332,ns
Macroglossia,Ventricular Septal Defect,1.613365209,0.09469572,3.132034698,0.465323952,ns
ADHD,Bilateral Kidneys,1.614895007,-1.113095282,4.342885295,0.912472783,ns
Hearing Impairment,Inguinal Hernia,1.620226728,0.054970245,3.185483211,0.394974897,ns
Slender Lower Limbs,Joint Hyperlaxity,1.620883612,0.241923344,2.999843879,0.142967197,ns
Cleft Lip/Palate,Large/Prominent Ears,1.621767942,0.0017405,3.241795383,0.461444557,ns
Cleft Lip/Palate,Scoliosis/Kyphosis,1.621767942,0.0017405,3.241795383,0.461444557,ns
Large/Prominent Ears,Café-au-lait Spots,1.621767942,0.0017405,3.241795383,0.461444557,ns
Bulbous Nasal Tip,Long/Prominent Philtrum,1.622843906,0.431840632,2.81384718,0.059883302,ns
Slender/Long Fingers,Hydrocephalus,1.626501696,-0.310598756,3.563602147,0.78747266,ns
Hypertelorism,Ventricular Septal Defect,1.627189232,0.470787168,2.783591297,0.065943841,ns
Upward Slanting Palpebral Fissures,Hypopigmentation,1.62961872,0.07119203,3.18804541,0.223895772,ns
Long Face,Otitis Media,1.631938117,0.020638193,3.243238041,0.233745458,ns
Craniosynostosis,Strabismus,1.634003369,-0.416704668,3.684711406,0.723371786,ns
Thin Upper Lip,Ventricular Septal Defect,1.635544634,0.217325994,3.053763273,0.34436636,ns
Low Birth Weight,Craniosynostosis,1.637965422,-1.012486946,4.288417791,0.905801833,ns
Dolichocephaly,Slender/Long Fingers,1.648203446,-0.633807893,3.930214784,0.715834481,ns
Otitis Media,Widely Spaced Nipples,1.648638812,-0.442915238,3.740192862,0.686204996,ns
Narrow Hands,Bicuspid Aortic Valve,1.6492227,-0.962095084,4.260540483,0.901992421,ns
Narrow Hands,Pyelectasis,1.6492227,-0.962095084,4.260540483,0.901992421,ns
Narrow Hands,Café-au-lait Spots,1.6492227,-0.962095084,4.260540483,0.901992421,ns
Astigmatism,Urinary Tract Infection,1.6492227,-0.962095084,4.260540483,0.901992421,ns
Narrow/Short Palpebral Fissures,Multiple Nevi,1.649281678,0.342746011,2.955817345,0.211365861,ns
Intrauterine Growth Restriction,High/Broad Forehead,1.650313849,0.356793379,2.943834318,0.202810566,ns
Narrow/Short Palpebral Fissures,Small Teeth,1.656288948,0.065965025,3.246612871,0.466770244,ns
Narrow/Short Palpebral Fissures,Hypopigmentation,1.656288948,0.065965025,3.246612871,0.466770244,ns
Hypodontia,Urinary Tract Infection,1.656433483,-0.22015693,3.533023896,0.759264133,ns
Neonatal Jaundice,Widely Spaced Nipples,1.656954574,0.168098359,3.145810789,0.366381986,ns
Developmental Delay/Intellectual Disability,ADHD,1.662803103,-2.449216808,5.774823014,0.943680222,ns
Failure to Thrive in Infancy,Pigmentation Abnormalities,1.663454809,-0.430919662,3.75782928,0.680404338,ns
Long Face,Dry Skin/Hyperkeratosis/Eczema,1.66459953,0.307139614,3.022059447,0.108084949,ns
Pectus Excavatum,Nasal Speech,1.667606395,0.015418769,3.319794021,0.56629903,ns
Atrial Septal Defect,Urinary Tract Infection,1.668479608,-0.024540738,3.361499954,0.509337668,ns
Narrow/High Palate,Pectus Excavatum,1.668510292,0.384817513,2.952203071,0.188477638,ns
Age,Hypopigmentation,1.669851398,-0.321852483,3.66155528,0.356384124,ns
